SYMBOL     CLASSIFICATION  VALUE      ADDRESS    SEGMENT   
Pgm1       $program_name              0          CS        
M          ConstVar        13         0          DS        
N          ConstVar        56         2          DS        
L          ConstVar        7          4          DS        
X          Variable        ?          6          DS        
Y          Variable        ?          8          DS        
Z          Variable        ?          10         DS        
Lit97      NumLit          97         12         DS        
Lit18      NumLit          18         14         DS        
Lit3       NumLit          3          16         DS        
T1         Var(Int)        0          18         DS        
T2         Var(Int)        0          20         DS        
T3         Var(Int)        0          22         DS        
T4         Var(Int)        0          24         DS        
