Symbol    Classification      Value     Address   Segment   
Pgm1      $program name       null      0         CS        
M         ConstVar            ?         0         DS        
13        NumLit              13        2         DS        
N         ConstVar            ?         4         DS        
56        NumLit              56        6         DS        
X         Var                 ?         8         DS        
Y         Var                 ?         10        DS        
Z         Var                 ?         12        DS        
97        NumLit              97        14        DS        
18        NumLit              18        16        DS        
